iter	Passed	Remaining
0	216	216440
1	359	179445
2	497	165480
3	653	162819
4	804	160126
5	940	155885
6	1114	158145
7	1279	158622
8	1439	158548
9	1593	157783
10	1818	163513
11	2027	166945
12	2194	166621
13	2341	164918
14	2577	169224
15	3077	189295
16	3403	196786
17	3729	203476
18	4065	209924
19	4377	214510
20	4648	216720
21	4934	219364
22	5168	219546
23	5383	218945
24	5606	218667
25	5807	217553
26	6014	216759
27	6212	215662
28	6409	214601
29	6621	214091
30	6826	213380
31	7049	213233
32	7237	212080
33	7457	211872
34	7641	210683
35	7817	209333
36	8000	208223
37	8147	206256
38	8281	204057
39	8397	201531
40	8514	199150
41	8642	197126
42	8754	194828
43	8851	192314
44	8951	189977
45	9058	187867
46	9156	185664
47	9274	183948
48	9383	182125
49	9507	180642
50	9615	178932
51	9706	176965
52	9808	175257
53	9911	173626
54	10009	171988
55	10122	170630
56	10226	169179
57	10353	168161
58	10454	166741
59	10578	165735
60	10688	164535
61	10795	163326
62	10904	162186
63	10991	160746
64	11080	159389
65	11214	158702
66	11320	157644
67	11424	156589
68	11516	155392
69	11609	154242
70	11705	153155
71	11808	152196
72	11913	151283
73	12043	150710
74	12156	149932
75	12262	149084
76	12389	148507
77	12488	147625
78	12579	146649
79	12673	145741
80	12764	144816
81	12858	143955
82	12945	143027
83	13028	142067
84	13126	141304
85	13221	140520
86	13320	139787
87	13425	139139
88	13542	138618
89	13639	137914
90	13742	137278
91	13844	136639
92	13940	135959
93	14031	135235
94	14133	134641
95	14230	134008
96	14332	133424
97	14416	132695
98	14506	132027
99	14603	131430
100	14708	130920
101	14822	130497
102	14926	129987
103	15018	129392
104	15115	128838
105	15214	128321
106	15327	127924
107	15428	127430
108	15511	126793
109	15609	126294
110	15740	126063
111	15827	125488
112	15921	124978
113	16025	124549
114	16134	124164
115	16223	123630
116	16315	123133
117	16428	122796
118	16531	122388
119	16617	121860
120	16740	121609
121	16843	121217
122	16944	120814
123	17056	120497
124	17167	120169
125	17294	119961
126	17441	119891
127	17544	119520
128	17652	119190
129	17770	118922
130	17887	118656
131	18028	118551
132	18143	118276
133	18277	118119
134	18414	117986
135	18530	117725
136	18645	117455
137	18779	117302
138	18895	117044
139	19024	116864
140	19175	116822
141	19308	116667
142	19420	116384
143	19532	116108
144	19628	115743
145	19773	115662
146	19879	115352
147	19984	115048
148	20100	114803
149	20222	114596
150	20335	114335
151	20423	113939
152	20553	113781
153	20650	113445
154	20746	113101
155	20856	112839
156	20967	112582
157	21065	112262
158	21161	111928
159	21281	111728
160	21385	111443
161	21482	111126
162	21584	110835
163	21689	110561
164	21796	110305
165	21922	110139
166	22044	109958
167	22184	109866
168	22346	109879
169	22465	109685
170	22613	109627
171	22762	109577
172	22887	109412
173	22991	109143
174	23113	108962
175	23225	108738
176	23345	108548
177	23447	108277
178	23559	108055
179	23680	107876
180	23797	107680
181	23931	107559
182	24055	107397
183	24184	107251
184	24303	107068
185	24415	106852
186	24517	106591
187	24629	106379
188	24732	106127
189	24831	105859
190	24948	105673
191	25074	105522
192	25198	105361
193	25295	105092
194	25406	104882
195	25517	104672
196	25611	104394
197	25715	104159
198	25815	103909
199	25931	103727
200	26025	103452
201	26121	103192
202	26232	102992
203	26328	102731
204	26440	102539
205	26530	102257
206	26629	102013
207	26753	101867
208	26865	101676
209	26963	101432
210	27080	101261
211	27190	101067
212	27301	100873
213	27406	100660
214	27542	100563
215	27648	100352
216	27776	100225
217	27896	100068
218	28001	99857
219	28116	99684
220	28227	99498
221	28322	99255
222	28415	99008
223	28509	98765
224	28610	98548
225	28708	98320
226	28821	98147
227	28921	97928
228	29035	97758
229	29133	97534
230	29229	97304
231	29344	97140
232	29436	96901
233	29530	96668
234	29629	96452
235	29735	96263
236	29837	96057
237	29939	95856
238	30071	95751
239	30181	95574
240	30286	95383
241	30416	95271
242	30535	95123
243	30641	94937
244	30738	94724
245	30852	94562
246	30951	94356
247	31053	94163
248	31160	93981
249	31258	93774
250	31368	93606
251	31474	93424
252	31576	93232
253	31683	93053
254	31795	92893
255	31893	92689
256	31991	92489
257	32123	92386
258	32255	92281
259	32379	92157
260	32505	92037
261	32645	91956
262	32845	92042
263	33014	92040
264	33157	91965
265	33340	91999
266	33479	91912
267	33602	91779
268	33737	91680
269	33862	91554
270	33974	91391
271	34090	91243
272	34189	91047
273	34309	90908
274	34401	90694
275	34517	90546
276	34631	90391
277	34756	90267
278	34873	90121
279	34992	89981
280	35105	89825
281	35215	89663
282	35324	89496
283	35438	89345
284	35554	89199
285	35713	89159
286	35824	89000
287	35944	88862
288	36068	88735
289	36182	88583
290	36297	88436
291	36410	88283
292	36516	88111
293	36657	88027
294	36827	88010
295	36988	87973
296	37173	87989
297	37382	88062
298	37511	87944
299	37653	87858
300	37843	87881
301	37995	87816
302	38169	87801
303	38350	87801
304	38518	87772
305	38695	87760
306	38828	87649
307	38976	87570
308	39116	87475
309	39255	87374
310	39389	87264
311	39548	87209
312	39677	87087
313	39807	86966
314	39940	86854
315	40055	86703
316	40190	86594
